,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000503.SZ,20191122,17.4,17.76,16.95,17.01,17.2,-0.19,-1.1047,127055.17,220090.414
1,000503.SZ,20191121,18.01,18.44,17.08,17.2,17.35,-0.15,-0.8646,255813.17,452621.085
2,000503.SZ,20191120,17.36,17.59,17.15,17.35,17.28,0.07,0.4051,136747.42,237778.978
3,000503.SZ,20191119,17.12,17.59,16.97,17.28,17.09,0.19,1.1118,175104.53,302971.291
4,000503.SZ,20191118,15.93,17.4,15.93,17.09,16.03,1.06,6.6126,250085.89,422566.753
5,000503.SZ,20191115,15.2,16.2,15.12,16.03,15.15,0.88,5.8086,193090.69,304610.872
6,000503.SZ,20191114,14.97,15.25,14.87,15.15,15.03,0.12,0.7984,55558.06,83624.591
7,000503.SZ,20191113,15.25,15.45,14.95,15.03,15.21,-0.18,-1.1834,68164.02,103491.853
8,000503.SZ,20191112,15.34,15.45,15.05,15.21,15.33,-0.12,-0.7828,69714.23,106026.378
9,000503.SZ,20191111,14.7,15.55,14.57,15.33,14.83,0.5,3.3715,173782.75,264242.878
10,000503.SZ,20191108,15.0,15.2,14.79,14.83,14.93,-0.1,-0.6698,80445.0,120426.645
11,000503.SZ,20191107,14.86,15.1,14.65,14.93,14.86,0.07,0.4711,70380.54,104842.99
12,000503.SZ,20191106,15.04,15.26,14.78,14.86,15.12,-0.26,-1.7196,105669.05,158013.38
13,000503.SZ,20191105,15.28,15.47,14.94,15.12,15.17,-0.05,-0.3296,93443.9,141604.169
14,000503.SZ,20191104,15.35,15.8,15.05,15.17,15.26,-0.09,-0.5898,107142.75,164548.623
15,000503.SZ,20191101,15.31,15.57,15.1,15.26,15.2,0.06,0.3947,80003.06,122827.688
16,000503.SZ,20191031,15.98,16.03,15.02,15.2,15.93,-0.73,-4.5825,164232.77,253723.48
17,000503.SZ,20191030,16.4,16.6,15.78,15.93,16.82,-0.89,-5.2913,173074.86,279082.427
18,000503.SZ,20191029,17.08,17.38,16.78,16.82,17.07,-0.25,-1.4646,110116.24,187683.43
